Placa;SVC Implantação;Regional;Modal;Locadora;Modelo;Cronograma Planejamento;Previsão Final Entrega;Entregue
TZV1E89;SRJ8 - Itaboraí (Niterói);RJ/ES;Van;Vamos;DUCATO MAXCARGO 13m³ 2.2 MEC DIESEL;Julho;04/07/2026;01/07/2026
TZV1E97;SRJ8 - Itaboraí (Niterói);RJ/ES;Van;Vamos;DUCATO MAXCARGO 13m³ 2.2 MEC DIESEL;Julho;04/07/2026;01/07/2026
TZV1E99;SRJ8 - Itaboraí (Niterói);RJ/ES;Van;Vamos;DUCATO MAXCARGO 13m³ 2.2 MEC DIESEL;Julho;04/07/2026;01/07/2026
TZV1F01;SRJ8 - Itaboraí (Niterói);RJ/ES;Van;Vamos;DUCATO MAXCARGO 13m³ 2.2 MEC DIESEL;Julho;04/07/2026;01/07/2026
UAE9E74;SMG3 - Pouso Alegre;MG;Van;Vamos;MASTER EXTRA FURGAO L3H2 13M³ 2.3 MEC DIESEL;Agosto;15/09/2026;
UVL9F73;SRJ4 - Campos dos Goytacazes;RJ/ES;Van;Vamos;DUCATO MAXCARGO 13m³ 2.2 MEC DIESEL;Agosto;15/09/2026;
UVL9F72;SRJ4 - Campos dos Goytacazes;RJ/ES;Van;Vamos;DUCATO MAXCARGO 13m³ 2.2 MEC DIESEL;Agosto;15/09/2026;
UVL9F77;SRJ4 - Campos dos Goytacazes;RJ/ES;Van;Vamos;DUCATO MAXCARGO 13m³ 2.2 MEC DIESEL;Agosto;15/09/2026;
UVL9F75;SRJ4 - Campos dos Goytacazes;RJ/ES;Van;Vamos;DUCATO MAXCARGO 13m³ 2.2 MEC DIESEL;Agosto;15/09/2026;
UVL9F71;SRJ4 - Campos dos Goytacazes;RJ/ES;Van;Vamos;DUCATO MAXCARGO 13m³ 2.2 MEC DIESEL;Agosto;15/09/2026;
TZP6B28;SRJ7 - Macaé;RJ/ES;Utilitário;Vamos;FIORINO ENDURANCE 1.3 FLEX 002 PASSAGEIROS;Agosto;12/07/2026;09/07/2026
TZV1F05;SRJ8 - Itaboraí (Niterói);RJ/ES;Van;Vamos;DUCATO MAXCARGO 13m³ 2.2 MEC DIESEL;Agosto;04/07/2026;01/07/2026
UVN4F28;SRJ8 - Itaboraí (Niterói);RJ/ES;Van;Vamos;MASTER EXTRA FURGAO L3H2 13M³ 2.3 MEC DIESEL;Agosto;10/09/2026;
UVN4F21;SRJ8 - Itaboraí (Niterói);RJ/ES;Van;Vamos;MASTER EXTRA FURGAO L3H2 13M³ 2.3 MEC DIESEL;Agosto;10/09/2026;
XXX4655;SRJ5 - Petrópolis;RJ/ES;Van;Vamos;;Setembro;;
XXX4656;SRJ5 - Petrópolis;RJ/ES;Van;Vamos;;Setembro;;
XXX4657;SRJ5 - Petrópolis;RJ/ES;Van;Vamos;;Setembro;;
XXX4658;SRJ5 - Petrópolis;RJ/ES;Van;Vamos;;Setembro;;
XXX4659;SRJ5 - Petrópolis;RJ/ES;Van;Vamos;;Setembro;;
XXX4660;SRJ5 - Petrópolis;RJ/ES;Van;Vamos;;Setembro;;
XXX4661;SRJ5 - Petrópolis;RJ/ES;Van;Vamos;;Setembro;;
XXX4699;SRJ7 - Macaé;RJ/ES;Van;Vamos;;Setembro;;
XXX4700;SRJ7 - Macaé;RJ/ES;Van;Vamos;;Setembro;;
XXX4701;SRJ7 - Macaé;RJ/ES;Van;Vamos;;Setembro;;
XXX4702;SRJ7 - Macaé;RJ/ES;Van;Vamos;;Setembro;;
XXX4703;SRJ7 - Macaé;RJ/ES;Van;Vamos;;Setembro;;
XXX4704;SRJ7 - Macaé;RJ/ES;Van;Vamos;;Setembro;;
XXX4705;SRJ7 - Macaé;RJ/ES;Van;Vamos;;Setembro;;
XXX4706;SRJ7 - Macaé;RJ/ES;Van;Vamos;;Setembro;;
XXX4707;SRJ7 - Macaé;RJ/ES;Van;Vamos;;Setembro;;
XXX4708;SRJ7 - Macaé;RJ/ES;Van;Vamos;;Setembro;;
XXX4709;SRJ7 - Macaé;RJ/ES;Van;Vamos;;Setembro;;
XXX4714;SRJ8 - Itaboraí (Niterói);RJ/ES;Van;Vamos;;Setembro;;
XXX4715;SRJ8 - Itaboraí (Niterói);RJ/ES;Van;Vamos;;Setembro;;
UAE9E78;SMG3 - Pouso Alegre;MG;Van;Vamos;MASTER EXTRA FURGAO L3H2 13M³ 2.3 MEC DIESEL;Outubro;05/08/2026;01/08/2026
UAF1F90;SMG3 - Pouso Alegre;MG;Van;Vamos;MASTER EXTRA FURGAO L3H2 13M³ 2.3 MEC DIESEL;Outubro;05/09/2026;
UAF1F91;SMG3 - Pouso Alegre;MG;Van;Vamos;MASTER EXTRA FURGAO L3H2 13M³ 2.3 MEC DIESEL;Outubro;05/09/2026;
UAE9E89;SMG3 - Pouso Alegre;MG;Van;Vamos;MASTER EXTRA FURGAO L3H2 13M³ 2.3 MEC DIESEL;Outubro;05/08/2026;01/08/2026
UAG5E23;SMG3 - Pouso Alegre;MG;Van;Vamos;MASTER EXTRA FURGAO L3H2 13M³ 2.3 MEC DIESEL;Outubro;28/08/2026;27/08/2026
UAG5E39;SMG3 - Pouso Alegre;MG;Van;Vamos;MASTER EXTRA FURGAO L3H2 13M³ 2.3 MEC DIESEL;Outubro;05/09/2026;27/08/2026
UAG5E44;SMG3 - Pouso Alegre;MG;Van;Vamos;MASTER EXTRA FURGAO L3H2 13M³ 2.3 MEC DIESEL;Outubro;28/08/2026;22/08/2026
UAG5E54;SMG3 - Pouso Alegre;MG;Van;Vamos;MASTER EXTRA FURGAO L3H2 13M³ 2.3 MEC DIESEL;Outubro;05/09/2026;
UAG5E18;SMG3 - Pouso Alegre;MG;Van;Vamos;MASTER EXTRA FURGAO L3H2 13M³ 2.3 MEC DIESEL;Outubro;28/08/2026;27/08/2026
UVN4F22;SRJ9 - São Pedro da Aldeia (Cabo Frio);RJ/ES;Van;Vamos;MASTER EXTRA FURGAO L3H2 13M³ 2.3 MEC DIESEL;Outubro;15/09/2026;
UVN4F19;SRJ9 - São Pedro da Aldeia (Cabo Frio);RJ/ES;Van;Vamos;MASTER EXTRA FURGAO L3H2 13M³ 2.3 MEC DIESEL;Outubro;15/09/2026;
UVN4F23;SRJ9 - São Pedro da Aldeia (Cabo Frio);RJ/ES;Van;Vamos;MASTER EXTRA FURGAO L3H2 13M³ 2.3 MEC DIESEL;Outubro;15/09/2026;
XXX5280;SRJ9 - São Pedro da Aldeia (Cabo Frio);RJ/ES;Van;Vamos;;Outubro;;
XXX5281;SRJ9 - São Pedro da Aldeia (Cabo Frio);RJ/ES;Van;Vamos;;Outubro;;
XXX5282;SRJ9 - São Pedro da Aldeia (Cabo Frio);RJ/ES;Van;Vamos;;Outubro;;
XXX5283;SRJ9 - São Pedro da Aldeia (Cabo Frio);RJ/ES;Van;Vamos;;Outubro;;
XXX5284;SRJ9 - São Pedro da Aldeia (Cabo Frio);RJ/ES;Van;Vamos;;Outubro;;
XXX5285;SRJ9 - São Pedro da Aldeia (Cabo Frio);RJ/ES;Van;Vamos;;Outubro;;
XXX5315;SRJ8 - Itaboraí (Niterói);RJ/ES;Van;Vamos;;Julho;;
XXX5316;SRJ8 - Itaboraí (Niterói);RJ/ES;Van;Vamos;;Outubro;;
XXX5317;SRJ8 - Itaboraí (Niterói);RJ/ES;Van;Vamos;;Outubro;;
XXX5318;SRJ8 - Itaboraí (Niterói);RJ/ES;Van;Vamos;;Outubro;;
